TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;
6.872291;6.872291;0.1002745;0.6896547;0.7947087;0;0;0
6.893518;6.893518;0.1003515;0.6898009;0.794574;0;0;0
6.919556;6.919556;0.1002891;0.6902742;0.7947214;0;0;0
6.945813;6.945813;0.1004355;0.6906219;0.794763;0;0;0
6.970316;6.970316;0.1005182;0.6902983;0.7943256;0;0;0
6.998369;6.998369;0.1002815;0.6901302;0.7939575;0;0;0
7.029161;7.029161;0.1000164;0.6903619;0.7939127;0;0;0
7.048861;7.048861;0.09986688;0.6908845;0.7944714;0;0;0
7.078682;7.078682;0.09985386;0.6913759;0.7951995;0;0;0
7.101278;7.101278;0.09998855;0.6915616;0.7954592;0;0;0
7.133534;7.133534;0.1000638;0.6913548;0.7953436;0;0;0
7.162647;7.162647;0.09982527;0.6911682;0.795305;0;0;0
7.186238;7.186238;0.09990324;0.6907907;0.7949988;0;0;0
7.211504;7.211504;0.1002159;0.6910435;0.7945384;0;0;0
7.235092;7.235092;0.1003426;0.6921404;0.7942317;0;0;0
7.263669;7.263669;0.1003916;0.6923327;0.7938908;0;0;0
7.294943;7.294943;0.1003787;0.6924205;0.7938633;0;0;0
7.314062;7.314062;0.1003796;0.6923676;0.7941074;0;0;0
7.34894;7.34894;0.1000313;0.6924081;0.7942295;0;0;0
7.368556;7.368556;0.09956823;0.6921728;0.7946487;0;0;0
7.395634;7.395634;0.09965993;0.6921246;0.7944184;0;0;0
7.423418;7.423418;0.09963419;0.692041;0.7941676;0;0;0
7.44815;7.44815;0.09917784;0.6922938;0.79411;0;0;0
7.468451;7.468451;0.09890197;0.6937;0.7948879;0;0;0
7.506856;7.506856;0.09862982;0.6943362;0.794974;0;0;0
7.526477;7.526477;0.09833629;0.6943397;0.7947705;0;0;0
7.556528;0.0300507;0.09810842;0.693839;0.7946212;0;0;0
7.580358;0.0538801;0.09800749;0.6933681;0.7945107;0;0;0
7.603108;0.0766308;0.0978554;0.6928947;0.794145;0;0;0
7.631818;0.1053407;0.09773371;0.6926718;0.7936167;0;0;0
7.661936;0.1354581;0.09766387;0.6924862;0.7933611;0;0;0
7.680306;0.1538282;0.09719829;0.6928362;0.7932939;0;0;0
7.710755;0.1842776;0.09689157;0.6928746;0.7936753;0;0;0
7.737083;0.2106053;0.09656798;0.6927138;0.794125;0;0;0
7.767964;0.2414862;0.09615877;0.6920953;0.7938113;0;0;0
7.788114;0.2616358;0.09591316;0.6916679;0.7934656;0;0;0
7.818024;0.2915462;0.09566811;0.6911002;0.7920495;0;0;0
7.846205;0.3197275;0.0950557;0.6896533;0.7906133;0;0;0
7.867822;0.3413442;0.09462776;0.6890486;0.7894065;0;0;0
7.892789;0.3663113;0.09428123;0.6884675;0.7882859;0;0;0
7.91935;0.3928719;0.09476282;0.687493;0.7880203;0;0;0
7.946551;0.4200733;0.09571539;0.6867508;0.7888334;0;0;0
7.978979;0.4525013;0.09659003;0.6837204;0.7879544;0;0;0
8.001645;0.4751674;0.09732535;0.6814485;0.7864371;0;0;0
8.031467;0.5049894;0.09738216;0.6814935;0.7867319;0;0;0
8.056148;0.5296693;0.09738627;0.6826588;0.7870062;0;0;0
8.084838;0.5583597;0.09765711;0.6829654;0.7875979;0;0;0
8.112882;0.5864037;0.0979623;0.6835163;0.7878341;0;0;0
8.147985;0.6215064;0.09955877;0.6823276;0.7872105;0;0;0
8.166772;0.6402934;0.09942052;0.6819307;0.7875532;0;0;0
8.191364;0.6648857;0.09870118;0.6820556;0.7878861;0;0;0
8.215382;0.6889031;0.09837598;0.6810404;0.7891538;0;0;0
8.24893;0.7224516;0.0984396;0.6801545;0.7889017;0;0;0
8.273162;0.7466831;0.09844034;0.6794305;0.7885132;0;0;0
8.305686;0.7792076;0.09840368;0.6784045;0.7880014;0;0;0
8.328789;0.8023104;0.09793032;0.6777245;0.7880528;0;0;0
8.356177;0.8296986;0.09795893;0.6762329;0.7884234;0;0;0
8.381358;0.8548792;0.09756366;0.6744086;0.7870492;0;0;0
8.416614;0.8901347;0.09677393;0.6737262;0.7863092;0;0;0
8.436913;0.9104336;0.09643803;0.6739962;0.7874923;0;0;0
8.471462;0.944983;0.09467786;0.6737245;0.787769;0;0;0
8.492378;0.9658991;0.0928371;0.6732081;0.78826;0;0;0
8.519661;0.9931818;0.09265202;0.6730079;0.7902871;0;0;0
8.547246;1.020766;0.09214621;0.673334;0.7916448;0;0;0
8.572906;1.046426;0.09219011;0.6729687;0.7916791;0;0;0
8.602438;1.075958;0.09387484;0.6720647;0.7920702;0;0;0
8.631438;1.104959;0.09609467;0.6697059;0.7918715;0;0;0
8.655535;1.129055;0.09689911;0.6677495;0.7902169;0;0;0
8.680816;1.154337;0.09686765;0.6661446;0.7896394;0;0;0
8.710946;1.184467;0.09636795;0.6668183;0.7906753;0;0;0
8.735902;1.209423;0.09647495;0.668191;0.7921268;0;0;0
8.763698;1.237219;0.09646056;0.6700631;0.793004;0;0;0
8.794494;1.268015;0.09679666;0.6704454;0.7933881;0;0;0
8.813807;1.287327;0.09729192;0.6705636;0.7936949;0;0;0
8.845754;1.319275;0.09790201;0.6704821;0.7936758;0;0;0
8.863531;1.337052;0.09887228;0.6682535;0.792694;0;0;0
8.900251;1.373773;0.09968449;0.6668183;0.7926764;0;0;0
8.926093;1.399615;0.1002893;0.6653512;0.7933059;0;0;0
8.957211;1.430732;0.1002752;0.6648204;0.7940412;0;0;0
8.979487;1.453009;0.1001618;0.6647322;0.7945058;0;0;0
8.997495;1.471016;0.09969582;0.6651752;0.7954444;0;0;0
9.034454;1.507976;0.09972613;0.6660831;0.7960102;0;0;0
9.059046;1.532567;0.09993982;0.6663462;0.7962235;0;0;0
9.085284;1.558805;0.100122;0.6656907;0.7961485;0;0;0
9.118692;1.592212;0.09999243;0.6647576;0.7959234;0;0;0
9.136881;1.610401;0.0999583;0.6640152;0.7955552;0;0;0
9.167109;1.640628;0.100041;0.6641629;0.7956412;0;0;0
9.192721;1.666241;0.09997915;0.6649626;0.7959114;0;0;0
9.217573;1.691093;0.09981515;0.6660205;0.7964066;0;0;0
9.245948;1.719468;0.1001671;0.6666983;0.7967454;0;0;0
9.275024;1.748544;0.1003914;0.6667588;0.7963952;0;0;0
9.30071;1.774229;0.1001855;0.6666202;0.7957547;0;0;0
9.324533;1.798053;0.09958467;0.6660855;0.7955753;0;0;0
9.351562;1.825081;0.09900208;0.6658635;0.7956867;0;0;0
9.383683;1.857203;0.09861645;0.6659454;0.7957259;0;0;0
9.403151;1.876671;0.09846435;0.6661119;0.7957411;0;0;0
9.435556;1.909077;0.0983967;0.6659919;0.7955422;0;0;0
9.456411;1.929931;0.09841239;0.6662073;0.7955654;0;0;0
9.484931;1.958451;0.09854241;0.666608;0.796012;0;0;0
9.511818;1.985337;0.09850107;0.6667909;0.7962231;0;0;0
9.536123;2.009642;0.09858942;0.6665933;0.7960567;0;0;0
9.563583;2.037102;0.09888901;0.6660985;0.795819;0;0;0
9.595507;2.069025;0.09917852;0.6655997;0.7956269;0;0;0
9.615443;2.088962;0.09944833;0.665096;0.7955323;0;0;0
9.643977;2.117496;0.0994058;0.6642635;0.7952615;0;0;0
9.669449;2.142967;0.09918715;0.6635058;0.794718;0;0;0
9.691597;2.165116;0.09948736;0.6632912;0.7942836;0;0;0
9.721915;2.195434;0.09950395;0.6633831;0.7944614;0;0;0
9.751101;2.224619;0.09935737;0.6635786;0.794858;0;0;0
9.770166;2.243685;0.09918135;0.6636785;0.7950336;0;0;0
9.794662;2.26818;0.09948961;0.6637037;0.7955732;0;0;0
9.824768;2.298286;0.09988321;0.6635582;0.7956895;0;0;0
9.8437;2.317219;0.100015;0.6633884;0.7956097;0;0;0
9.871319;2.344838;0.09973516;0.6633276;0.7957268;0;0;0
9.906776;2.380296;0.09926262;0.6629289;0.795277;0;0;0
9.938088;2.411608;0.09878518;0.6629947;0.7949018;0;0;0
9.958361;2.43188;0.09850653;0.6637397;0.7949352;0;0;0
9.984787;2.458307;0.09835919;0.6640682;0.7953583;0;0;0
10.01257;2.486085;0.09831354;0.6643488;0.7956806;0;0;0
10.03948;2.513;0.09837896;0.6643351;0.7962714;0;0;0
10.06677;2.540287;0.09868148;0.6641499;0.7965161;0;0;0
10.09712;2.570638;0.09898761;0.6638974;0.7963557;0;0;0
10.11381;2.587332;0.09920338;0.6631477;0.7963122;0;0;0
10.14367;2.617192;0.09928241;0.6632519;0.7961521;0;0;0
10.17161;2.645132;0.09909405;0.6635052;0.7960035;0;0;0
10.19944;2.672956;0.09887226;0.6637893;0.7959921;0;0;0
10.22216;2.69568;0.09869999;0.6639095;0.7959809;0;0;0
10.25412;2.727643;0.09854369;0.6638848;0.7964836;0;0;0
10.2782;2.751714;0.09843174;0.6638491;0.7968323;0;0;0
10.30365;2.777172;0.09827581;0.6639027;0.7970631;0;0;0
10.33081;2.804328;0.09838007;0.6637982;0.797033;0;0;0
10.35629;2.829811;0.09870605;0.66372;0.7969054;0;0;0
10.38128;2.854794;0.09902395;0.6638514;0.796556;0;0;0
10.41319;2.88671;0.09864362;0.6638028;0.7961671;0;0;0
10.43516;2.908678;0.0985617;0.6637752;0.7957965;0;0;0
10.45853;2.932044;0.09846529;0.6642421;0.7957904;0;0;0
10.47849;2.952011;0.09852836;0.6642298;0.7956831;0;0;0
10.51252;2.986035;0.09863679;0.6644766;0.7957107;0;0;0
10.53696;3.010477;0.09843773;0.6645681;0.7958688;0;0;0
10.57249;3.046008;0.09827994;0.6648628;0.7962537;0;0;0
10.59138;3.064892;0.09831527;0.6650105;0.7966628;0;0;0
10.61665;3.090165;0.09852409;0.6651614;0.7967035;0;0;0
10.6444;3.117919;0.0986919;0.6648633;0.7964898;0;0;0
10.6693;3.142813;0.09881435;0.6642421;0.7960851;0;0;0
10.69885;3.172369;0.09873245;0.6640192;0.7958882;0;0;0
10.7211;3.194614;0.09859769;0.6639404;0.7959175;0;0;0
10.74801;3.221526;0.09852303;0.663929;0.7957383;0;0;0
10.7747;3.248221;0.09858041;0.6640145;0.7955528;0;0;0
10.80195;3.275466;0.09862972;0.6642882;0.7955858;0;0;0
10.82638;3.299894;0.09838706;0.6645569;0.7957957;0;0;0
10.85234;3.325855;0.09825899;0.664603;0.7958754;0;0;0
10.88565;3.359164;0.09845481;0.664793;0.7960341;0;0;0
10.90407;3.377585;0.0985888;0.6651105;0.7964677;0;0;0
10.93017;3.403686;0.09867901;0.6653205;0.7967064;0;0;0
10.95681;3.430325;0.09876388;0.6650221;0.7964865;0;0;0
10.98453;3.458042;0.09862822;0.6641505;0.7959956;0;0;0
11.01363;3.487149;0.09857424;0.6636986;0.7958598;0;0;0
11.04682;3.520336;0.0983194;0.6635673;0.7960612;0;0;0
11.06956;3.543074;0.09797025;0.6636913;0.7963778;0;0;0
11.09016;3.563678;0.09779115;0.6639074;0.7966752;0;0;0
11.10904;3.582559;0.097553;0.6645192;0.7971324;0;0;0
11.14474;3.618253;0.09788125;0.6647724;0.7972597;0;0;0
11.16985;3.643368;0.09841163;0.6648027;0.797095;0;0;0
11.20061;3.674122;0.0988017;0.6645025;0.7966648;0;0;0
11.22344;3.69695;0.09907047;0.664462;0.796487;0;0;0
11.24814;3.721654;0.09913957;0.6646131;0.796389;0;0;0
11.27721;3.750729;0.09884015;0.6646751;0.7964541;0;0;0
11.30272;3.776235;0.09861615;0.6646335;0.7965417;0;0;0
11.32591;3.799427;0.09840909;0.6643302;0.7964962;0;0;0
11.36023;3.833749;0.09824933;0.664161;0.7964858;0;0;0
11.38302;3.856537;0.09826782;0.6641918;0.7965068;0;0;0
11.40779;3.881301;0.0981793;0.6641467;0.796447;0;0;0
11.43479;3.90831;0.09813917;0.6641195;0.7966936;0;0;0
11.4595;3.933015;0.09828579;0.6639285;0.7969888;0;0;0
11.48993;3.963443;0.09842817;0.6634396;0.7972659;0;0;0
11.52048;3.993992;0.09857249;0.6629556;0.7973052;0;0;0
11.53763;4.011151;0.09876685;0.6629539;0.797344;0;0;0
11.56546;4.038977;0.09878335;0.6633104;0.7974493;0;0;0
11.59015;4.063668;0.09907264;0.6634206;0.7977778;0;0;0
11.61954;4.093061;0.09921151;0.6632866;0.7977799;0;0;0
11.64643;4.119945;0.09918598;0.6631939;0.7974802;0;0;0
11.67493;4.148444;0.09897832;0.662959;0.7972062;0;0;0
11.69675;4.17027;0.0986253;0.662837;0.7971089;0;0;0
11.72397;4.197486;0.09847375;0.6623026;0.7970701;0;0;0
11.74791;4.221427;0.09854692;0.6623941;0.7971797;0;0;0
